"","Form","Freq","lemma","POS","base","logtoken","nountype","typetoken_ratio","entropy"
"279","scaglia",395,"scaglia","NOUN-F:s","scagli_",5.979,"control",54.383,9.622
"280","scaglie",2102,"scaglia","NOUN-F:p","scagli_",7.651,"control",35.093,11.21
"281","scarabei",176,"scarabeo","NOUN-M:p","scarabe_",5.17,"control",66.256,9.277
"282","scarabeo",539,"scarabeo","NOUN-M:s","scarabe_",6.29,"control",52.038,10.025
"283","scarpata",1477,"scarpata","NOUN-F:s","scarpat_",7.298,"control",34.344,10.453
"284","scarpate",919,"scarpata","NOUN-F:p","scarpat_",6.823,"control",35.016,10.169
"285","scivolamenti",182,"scivolamento","NOUN-M:p","scivolament_",5.204,"control",65.492,9.366
"286","scivolamento",1124,"scivolamento","NOUN-M:s","scivolament_",7.025,"control",42.193,10.903
"287","scorpacciata",528,"scorpacciata","NOUN-F:s","scorpacciat_",6.269,"control",55.541,10.145
"288","scorpacciate",206,"scorpacciata","NOUN-F:p","scorpacciat_",5.328,"control",63.74,9.313
"289","siparietti",627,"siparietto","NOUN-M:p","sipariett_",6.441,"control",50.337,10.257
"290","siparietto",583,"siparietto","NOUN-M:s","sipariett_",6.368,"control",54.834,10.205
